"id","question","sparql","answer","frame"
"0","Give me the capital of Khedivate of Egypt","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q127861> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Cairo","NPP"
"1","Tell me the capital of Khedivate of Egypt","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q127861> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Cairo","NPP"
"2","What is the capital of Khedivate of Egypt?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q127861> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Cairo","NPP"
"3","What was the capital of Khedivate of Egypt?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q127861> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Cairo","NPP"
"4","Give me the capital of Khedivate of Egypt","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q127861> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Cairo","NPP"
"5","Tell me the capital of Khedivate of Egypt","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q127861> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Cairo","NPP"
"6","What is the capital of Khedivate of Egypt?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q127861> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Cairo","NPP"
"7","What was the capital of Khedivate of Egypt?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q127861> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Cairo","NPP"
"8","Give me the capital of Brandenburg-Prussia","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q157367> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Königsberg","NPP"
"9","Tell me the capital of Brandenburg-Prussia","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q157367> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Königsberg","NPP"
"10","What is the capital of Brandenburg-Prussia?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q157367> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Königsberg","NPP"
"11","What was the capital of Brandenburg-Prussia?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q157367> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Königsberg","NPP"
"12","Give me the capital of Francia","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q146246> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Tournai","NPP"
"13","Tell me the capital of Francia","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q146246> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Tournai","NPP"
"14","What is the capital of Francia?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q146246> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Tournai","NPP"
"15","What was the capital of Francia?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q146246> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Tournai","NPP"
"16","Give me the capital of Francia","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q146246> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Tournai","NPP"
"17","Tell me the capital of Francia","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q146246> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Tournai","NPP"
