word,id,property,question,sparql
admit,89,admittancedate,SELECT DISTINCT ?date WHERE { <http://dbpedia.org/resource/Alberta> <http://dbpedia.org/property/admittancedate> ?date },When was Alberta admitted as province?
air,226,completionDate,SELECT ?date WHERE { dbr:Friends dbo:completionDate ?date },When was the last episode of the TV series Friends aired? 
assassinate,77,deathPlace,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/John_F._Kennedy> <http://dbpedia.org/ontology/deathPlace> ?uri },Where was JFK assassinated? 
attend,248,almaMater,SELECT DISTINCT ?university WHERE { res:Angela_Merkel dbo:almaMater ?university },Which university did Angela Merkel attend?
  ,266,almaMater,ASK WHERE { res:Arnold_Schwarzenegger dbo:almaMater ?x . ?x rdf:type dbo:University },Did Arnold Schwarzenegger attend a university?
bear,243,birthYear,SELECT DISTINCT ?uri WHERE { res:Rachel_Stevens dbo:birthYear ?uri },In which year was Rachel Stevens born? 
  ,252,birthDate,SELECT DISTINCT ?date WHERE { res:John_Adams dbo:birthDate ?date },When was John Adams born?
bear_in  ,3,birthPlace,SELECT DISTINCT ?uri WHERE { ?uri rdf:type onto:Person $ onto:birthPlace res:Heraklion. },Which people were born in Heraklion? 
  ,40,birthPlace,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Swimmer> $ <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Moscow> },Give all swimmers that were born in Moscow. 
  ,43,birthDate,"SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/President> ; <http://dbpedia.org/ontology/birthDate> ?date FILTER regex(?date, ""^1945"") }",Which presidents were born in 1945? 
  ,69,birthPlace,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Actor> . ?uri <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Paris> . ?uri <http://dbpedia.org/ontology/birthDate> ?date . FILTER ( ?date >= xsd:dateTime('1950-12-31T00:00:00Z')) },Give me all actors who were born in Paris after 1950. 
,82,birthPlace,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Actor> { ?uri <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Germany> } UNION { ?uri <http://dbpedia.org/ontology/birthPlace> ?place . ?place <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Germany> } },Which actors were born in Germany? 
  ,86,birthPlace,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Actor> $ <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Berlin> },Give me all actors who were born in Berlin. 
